,C. sp X1,C. sp X2,C. sp X3,C. sp X4,C. sp X5,C. sp X6,C. sp X7,C. sp X8,C. sp X9,descriptions
PF12277,0,4,4,0,2,0,1,1,4,Protein of unknown function (DUF3618)
PF12281,0,0,1,0,1,0,0,2,0,Nucleotidyltransferase
PF12282,0,2,1,0,0,0,0,0,2,Signal transduction histidine kinase
PF12291,0,0,1,0,4,0,0,0,0,Protein of unknown function (DUF3623)
PF12293,0,0,0,0,2,0,0,0,0,Putative outer membrane core complex of type IVb secretion
PF12298,1,1,1,1,1,1,1,1,1,Eukaryotic mitochondrial regulator protein 
PF12307,0,1,1,0,1,0,0,0,0,Protein of unknown function (DUF3631)
PF12311,1,2,3,4,1,2,2,3,1,Protein of unknown function (DUF3632)
PF12323,0,0,0,0,0,0,0,0,2,Helix-turn-helix domain
PF12325,1,1,1,1,1,1,1,1,1,TATA element modulatory factor 1 TATA binding
PF12327,0,7,4,0,7,0,1,3,3,"FtsZ family, C-terminal domain"
PF12328,1,1,1,1,1,1,1,1,1,Rpp20 subunit of nuclear RNase MRP and P
PF12329,1,1,1,1,1,1,1,1,1,TATA element modulatory factor 1 DNA binding
PF12330,1,1,1,1,1,1,1,1,1,Haspin like kinase domain
PF12331,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF3636) 
PF12333,1,1,1,1,1,1,1,1,1,Rix1 complex component involved in 60S ribosome maturation
PF12340,3,2,2,2,1,2,2,2,2,Protein of unknown function (DUF3638)
PF12341,1,1,1,1,1,1,1,1,1,"Minichromosome loss protein, Mcl1, middle region"
PF12344,0,4,4,0,7,0,1,3,3,Ultra-violet resistance protein B
PF12348,1,1,1,2,1,1,2,1,1,CLASP N terminal
PF12349,2,4,3,2,2,2,2,2,2,Sterol-sensing domain of SREBP cleavage-activation
PF12350,1,1,1,1,1,1,1,1,1,CTD kinase subunit gamma CTK3 C-terminus
PF12351,2,2,3,2,2,2,2,2,2,Ca2+ regulator and membrane fusion protein Fig1
PF12352,3,3,3,3,3,3,3,3,3,Snare region anchored in the vesicle membrane C-terminus
PF12353,1,1,1,1,1,1,1,1,1,Eukaryotic translation initiation factor 3 subunit G 
PF12359,3,2,2,2,2,2,2,1,2,Protein of unknown function (DUF3645) 
PF12362,0,0,1,0,5,0,1,3,0,DNA polymerase III gamma and tau subunits C terminal
PF12368,0,1,0,0,0,0,0,0,0,Rhodanase C-terminal
PF12385,0,1,0,0,0,0,0,0,2,Papain-like cysteine protease AvrRpt2
PF12389,0,1,0,0,0,0,0,0,0,Camelysin metallo-endopeptidase
PF12390,0,0,1,0,1,0,0,0,0,Selenocysteine synthase N terminal
PF12391,0,0,2,0,5,0,0,1,0,"Protocatechuate 3,4-dioxygenase beta subunit N terminal"
PF12395,0,0,1,0,1,0,0,0,0,Protein of unknown function 
PF12396,1,2,2,2,3,2,2,2,2,Protein of unknown function (DUF3659) 
PF12397,1,1,1,1,1,1,1,1,1,U3 small nucleolar RNA-associated protein 10 
PF12399,0,4,9,0,25,0,0,4,3,Branched-chain amino acid ATP-binding cassette transporter
PF12400,1,1,1,1,1,1,1,1,1,STIMATE family
PF12401,0,4,3,0,0,0,0,0,2,Protein of unknown function (DUF2662) 
PF12409,1,1,1,1,1,1,1,1,1,P5-type ATPase cation transporter
PF12411,1,1,1,1,3,1,1,1,1,Choline sulfatase enzyme C terminal 
PF12412,0,0,0,0,0,0,0,1,0,Protein of unknown function (DUF3667)
PF12417,2,3,3,4,3,3,4,3,2,Zinc finger protein 
PF12418,0,1,0,0,3,0,1,0,0,Acyl-CoA dehydrogenase N terminal 
PF12419,0,0,1,0,2,0,0,0,5,SNF2 Helicase protein 
PF12423,1,1,1,1,1,1,1,1,1,Kinesin protein 1B
PF12430,1,1,1,1,1,1,1,1,1,Abscisic acid G-protein coupled receptor 
PF12436,1,1,1,1,1,1,1,1,1,ICP0-binding domain of Ubiquitin-specific protease 7
PF12437,0,2,1,0,1,0,0,0,2,Glutamine synthetase type III N terminal 
PF12439,0,0,0,0,1,0,0,0,1,Glycogen debranching enzyme N terminal
PF12441,0,0,0,0,1,0,0,0,0,CopG antitoxin of type II toxin-antitoxin system 
PF12449,1,1,1,1,1,1,1,1,2,Protein of unknown function (DUF3684) 
PF12451,1,1,1,1,1,1,1,1,1,Vacuolar protein sorting protein 11 C terminal
PF12454,1,1,1,1,1,0,1,1,1,GPI-anchored cell wall organization protein
PF12455,1,1,1,1,1,1,1,1,1,Dynein associated protein 
PF12456,1,1,1,1,1,1,1,1,1,Inositol phosphatase 
PF12460,1,1,1,1,1,1,1,1,1,RNAPII transcription regulator C-terminal
PF12464,1,3,1,1,3,1,1,1,2,Maltose acetyltransferase 
PF12465,1,1,1,1,1,1,1,1,2,Proteasome beta subunits C terminal 
PF12469,0,0,0,0,0,0,0,0,1,CRISPR-associated protein 
PF12471,1,1,2,1,5,1,1,1,1,GTP cyclohydrolase N terminal 
PF12473,1,1,1,1,1,1,1,1,1,Kinesin protein 
PF12500,0,0,0,0,0,0,0,0,1,TRSP domain C terminus to PRTase_2 
PF12501,0,0,1,0,2,0,1,2,0,Phosphate ATP-binding cassette transporter
PF12502,0,0,1,0,0,0,0,0,2,Protein of unknown function (DUF3710) 
PF12505,2,2,2,2,2,2,2,2,2,Protein of unknown function (DUF3712)
PF12511,0,0,0,2,0,1,0,1,0,Protein of unknown function (DUF3716) 
PF12513,1,1,1,1,5,1,1,2,1,Mitochondrial degradasome RNA helicase subunit C terminal
PF12519,1,1,1,1,1,1,1,1,1,Mitochondrial distribution and morphology protein 10
PF12520,2,0,0,0,1,1,1,0,1,Protein of unknown function (DUF3723) 
PF12527,0,0,0,0,1,0,0,0,1,Protein of unknown function (DUF3727) 
PF12535,0,0,1,0,1,0,0,0,2,Hydrolase of X-linked nucleoside diphosphate N terminal 
PF12536,0,0,1,0,8,0,0,2,0,Patatin phospholipase 
PF12537,1,1,1,1,1,1,1,1,1,The Golgi pH Regulator (GPHR) Family N-terminal
PF12539,1,1,1,1,1,1,1,1,1,Chromosome segregation protein Csm1/Pcs1
PF12542,1,1,1,1,1,1,1,1,1,Pre-mRNA splicing factor
PF12556,0,0,2,0,5,0,1,3,0,Cobaltochelatase CobS subunit N terminal 
PF12557,0,0,0,0,1,0,0,0,1,Cob(I)alamin adenosyltransferase N terminal 
PF12569,1,1,1,1,1,1,1,1,1,NMDA receptor-regulated protein 1 
PF12570,0,0,1,0,4,0,0,1,0,Protein of unknown function (DUF3750)
PF12572,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF3752)
PF12573,0,0,2,0,2,0,2,3,0,2-oxoisovalerate dehydrogenase E1 alpha subunit N terminal
PF12584,1,1,1,1,1,1,1,1,1,"Trafficking protein particle complex subunit 10, TRAPPC10"
PF12585,0,1,1,1,1,0,0,0,0,Protein of unknown function (DUF3759)
PF12586,1,0,1,0,0,0,0,1,0,Protein of unknown function (DUF3760)
PF12588,0,0,0,0,0,1,0,0,1,Phophatidylserine decarboxylase 
PF12589,1,1,1,1,1,1,1,1,1,Methyltransferase involved in Williams-Beuren syndrome
PF12597,1,1,1,1,1,0,1,1,1,Protein of unknown function (DUF3767)
PF12599,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF3768)
PF12600,0,0,0,0,1,0,0,0,1,Protein of unknown function (DUF3769)
PF12607,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF3772)
PF12612,1,1,1,1,1,1,1,1,2,Tubulin folding cofactor D C terminal
PF12616,0,0,0,0,2,0,0,3,0,Protein of unknown function (DUF3775)
PF12619,1,1,1,1,1,1,1,1,1,Mini-chromosome maintenance protein 2
PF12621,4,3,3,3,3,4,3,3,5,"Extracellular tail, of 10TM putative phosphate transporter"
PF12623,0,3,2,0,2,0,0,0,2,"RNA repair, ligase-Pnkp-associating, region of Hen1"
PF12624,1,1,1,1,1,1,1,1,2,N-terminal region of Chorein or VPS13
PF12625,0,0,0,0,1,0,0,0,0,"Arabinose-binding domain of AraC transcription regulator, N-term"
PF12627,1,5,5,1,8,1,2,4,5,Probable RNA and SrmB- binding site of polymerase A
PF12631,1,1,2,1,6,1,2,4,3,MnmE helical domain
PF12632,1,1,1,1,1,1,1,1,1,Mysoin-binding motif of peroxisomes
PF12634,1,1,0,1,1,1,1,1,2,Inheritance of peroxisomes protein 1
PF12642,0,2,0,0,0,0,0,0,0,Conjugative transposon protein TcpC
PF12645,0,1,0,0,0,0,0,0,0,Helix-turn-helix domain
PF12656,2,2,2,2,2,2,2,2,2,G-patch domain
PF12657,1,1,1,1,1,1,1,1,1,Transcription factor IIIC subunit delta N-term
PF12658,1,1,0,1,1,0,0,0,0,"Telomere capping, CST complex subunit"
PF12660,1,1,1,1,0,1,1,1,1,Putative zinc-finger of transcription factor IIIC complex
PF12678,3,4,5,5,5,5,4,4,8,RING-H2 zinc finger domain
PF12679,0,5,12,0,6,0,1,2,4,ABC-2 family transporter protein
PF12680,1,20,46,0,50,0,10,21,20,SnoaL-like domain
PF12681,0,1,1,0,1,0,0,1,0,Glyoxalase-like domain
PF12686,0,1,0,0,6,0,0,0,0,Protein of unknown function (DUF3800)
PF12688,1,4,0,1,0,1,1,0,0,Tetratrico peptide repeat
PF12689,1,1,1,1,1,1,1,1,1,Acid Phosphatase
PF12693,0,0,1,0,1,0,1,2,0,GspL periplasmic domain
PF12695,0,3,0,0,0,0,0,0,0,Alpha/beta hydrolase family
PF12696,0,1,7,0,19,0,3,3,1,TraM recognition site of TraD and TraG
PF12697,44,107,130,37,184,35,60,88,78,Alpha/beta hydrolase family
PF12698,2,19,21,2,8,2,4,6,4,ABC-2 family transporter protein
PF12700,0,0,0,0,1,0,0,0,0,HlyD family secretion protein
PF12701,1,1,1,1,1,1,1,1,1,Scd6-like Sm domain
PF12704,0,3,13,0,18,0,4,7,4,MacB-like periplasmic core domain
PF12705,1,8,9,1,8,1,3,4,8,PD-(D/E)XK nuclease superfamily
PF12706,2,21,25,3,47,3,10,17,14,Beta-lactamase superfamily domain
PF12708,3,3,9,2,4,3,3,6,16,Pectate lyase superfamily protein
PF12709,1,1,1,1,1,1,1,1,1,Fungal Transforming acidic coiled-coil (TACC) proteins
PF12710,5,21,16,5,26,6,9,13,16,haloacid dehalogenase-like hydrolase
PF12713,0,1,0,0,0,0,0,0,0,Domain of unknown function (DUF3806)
PF12716,1,1,1,1,1,1,1,1,1,Nuclear pore assembly and biogenesis
PF12717,6,6,6,6,6,6,6,5,6,non-SMC mitotic condensation complex subunit 1
PF12718,1,1,1,1,1,1,1,1,1,Tropomyosin like
PF12719,1,1,1,1,1,1,1,1,1,"Nuclear condensing complex subunits, C-term domain"
PF12720,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF3807)
PF12722,1,1,1,1,1,1,1,1,1,High-temperature-induced dauer-formation protein
PF12724,0,1,0,0,0,0,0,0,0,Flavodoxin domain
PF12727,0,5,6,0,13,0,0,1,6,PBP superfamily domain
PF12728,0,11,6,0,3,0,2,3,11,Helix-turn-helix domain
PF12729,0,1,2,0,2,0,0,1,4,Four helix bundle sensory module for signal transduction
PF12730,0,4,7,0,1,0,0,0,5,ABC-2 family transporter protein
PF12732,0,0,1,0,0,0,0,0,0,YtxH-like protein
PF12734,0,0,0,0,1,1,0,0,0,Cysteine-rich TM module stress tolerance
PF12735,1,1,1,1,1,1,1,1,1,TRAPP trafficking subunit Trs65
PF12738,5,7,4,5,5,4,4,5,6,twin BRCT domain
PF12739,1,1,1,1,1,1,1,1,1,ER-Golgi trafficking TRAPP I complex 85 kDa subunit
PF12740,0,0,1,0,1,0,0,1,0,Chlorophyllase enzyme
PF12745,1,1,1,1,1,1,1,1,1,Anticodon binding domain of tRNAs
PF12752,1,1,1,1,1,1,1,2,1,SUZ domain
PF12754,1,0,1,1,1,0,0,1,1,Blt1 N-terminal domain
PF12755,1,1,1,1,1,1,1,1,1,Vacuolar 14 Fab1-binding region
PF12756,3,2,3,1,2,1,2,2,3,C2H2 type zinc-finger (2 copies)
PF12757,1,1,1,1,1,1,1,1,1,Eisosome protein 1 
PF12760,0,0,0,0,2,0,0,0,0,Transposase zinc-ribbon domain
PF12761,1,1,1,1,1,1,1,1,1,Actin cytoskeleton-regulatory complex protein END3
PF12763,3,3,3,3,3,3,3,3,3,Cytoskeletal-regulatory complex EF hand
PF12765,1,1,1,1,1,1,1,1,1,HEAT repeat associated with sister chromatid cohesion
PF12766,1,2,4,1,7,1,2,4,4,Pyridoxamine 5'-phosphate oxidase
PF12767,1,1,1,1,1,1,1,1,1,"Transcriptional regulator of RNA polII, SAGA, subunit"
PF12768,1,1,1,1,1,1,1,1,1,Cortical protein marker for cell polarity
PF12769,0,1,4,0,8,0,0,3,0,"4TM region of pyridine nucleotide transhydrogenase, mitoch"
PF12770,2,3,4,0,10,1,2,3,7,CHAT domain
PF12773,0,2,0,0,1,0,0,0,0,Double zinc ribbon
PF12774,1,1,1,1,1,1,1,0,1,Hydrolytic ATP binding site of dynein motor region
PF12775,1,1,1,1,1,1,1,0,1,P-loop containing dynein motor region
PF12777,1,1,1,1,1,1,1,0,1,Microtubule-binding stalk of dynein motor
PF12779,0,0,0,0,1,0,0,0,0,YXWGXW repeat (2 copies)
PF12780,1,1,1,1,1,1,1,0,1,P-loop containing dynein motor region D4
PF12781,1,1,1,1,1,1,1,0,1,ATP-binding dynein motor region
PF12783,3,3,3,3,3,3,3,3,4,Guanine nucleotide exchange factor in Golgi transport N-terminal
PF12787,0,2,3,0,5,0,2,1,2,EcsC protein family
PF12789,0,0,0,0,1,0,0,0,0,Phage tail repeat like
PF12790,0,0,0,0,1,0,0,0,0,"Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113"
PF12796,71,89,79,76,83,59,76,99,80,Ankyrin repeats (3 copies)
PF12799,2,3,2,3,1,2,3,1,1,Leucine Rich repeats (2 copies)
PF12800,0,0,2,0,2,1,0,2,1,4Fe-4S binding domain
PF12802,0,47,55,0,52,0,7,15,22,MarR family
PF12804,2,28,34,2,56,2,13,29,12,MobA-like NTP transferase domain
PF12806,0,1,2,0,9,0,2,4,0,Acetyl-CoA dehydrogenase C-terminal like
PF12807,1,1,1,1,1,1,1,1,1,Translation initiation factor eIF3 subunit 135
PF12808,1,1,1,1,1,1,1,1,1,Micro-tubular organiser Mto1 C-term Mto2-binding region
PF12811,0,2,1,0,0,0,0,0,2,Bax inhibitor 1 like 
PF12812,1,1,1,1,3,1,1,1,1,PDZ-like domain
PF12813,1,1,1,1,1,1,1,1,1,XPG domain containing
PF12814,2,2,2,2,2,2,2,2,2,Meiotic cell cortex C-terminal pleckstrin homology
PF12815,1,1,1,1,1,0,0,1,1,Spt5 C-terminal nonapeptide repeat binding Spt4
PF12816,1,1,1,1,1,1,1,1,1,Golgi CORVET complex core vacuolar protein 8
PF12821,1,2,1,1,1,1,1,1,1,"Threonine/Serine exporter, ThrE"
PF12822,0,1,1,0,0,0,0,0,0,"ECF transporter, substrate-specific component"
PF12823,0,3,3,0,1,0,0,0,4,Domain of unknown function (DUF3817)
PF12824,1,2,1,2,1,1,1,1,1,Mitochondrial ribosomal protein subunit L20
PF12825,2,2,2,2,2,2,2,2,2,Domain of unknown function in PX-proteins (DUF3818)
PF12826,0,8,6,0,9,0,0,3,6,Helix-hairpin-helix motif
PF12828,2,1,2,2,2,2,2,2,2,PX-associated
PF12829,1,1,1,1,1,1,1,1,1,Transcriptional regulation of mitochondrial recombination
PF12830,1,1,1,1,1,1,1,1,1,Sister chromatid cohesion C-terminus
PF12831,0,0,0,0,3,0,1,0,1,FAD dependent oxidoreductase
PF12832,0,1,4,0,15,0,0,3,1,MFS_1 like family
PF12833,0,30,34,0,78,0,7,16,22,Helix-turn-helix domain
PF12835,0,0,1,0,0,0,0,0,0,Integrase
PF12836,0,5,4,0,5,0,1,0,4,Helix-hairpin-helix motif
PF12837,0,2,3,0,4,0,0,1,0,4Fe-4S binding domain
PF12838,1,13,14,1,24,1,5,7,3,4Fe-4S dicluster domain
PF12840,0,37,19,0,21,0,1,8,3,Helix-turn-helix domain
PF12842,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF3819)
PF12844,0,8,11,0,24,0,5,4,5,Helix-turn-helix domain
PF12846,0,2,2,0,2,0,1,0,0,AAA-like domain
PF12848,2,12,13,3,18,2,4,7,8,ABC transporter
PF12849,0,5,9,0,35,0,1,5,10,PBP superfamily domain
PF12850,2,15,19,3,25,2,4,12,9,Calcineurin-like phosphoesterase superfamily domain
PF12852,0,4,9,0,3,0,0,2,3,Cupin
PF12853,1,1,1,1,1,1,1,1,1,C-terminal of NADH-ubiquinone oxidoreductase 21 kDa subunit
PF12854,1,1,1,1,1,0,1,1,1,PPR repeat
PF12855,1,1,1,1,1,1,1,1,1,ECL1/2/3 zinc binding proteins
PF12857,0,0,1,0,2,0,0,0,1,TOBE-like domain
PF12859,1,1,1,1,1,1,1,1,1,Anaphase-promoting complex subunit 1
PF12860,0,0,5,0,24,0,2,9,2,PAS fold
PF12861,2,2,3,3,5,3,2,3,3,Anaphase-promoting complex subunit 11 RING-H2 finger
PF12862,1,1,1,1,1,1,1,1,1,Anaphase-promoting complex subunit 5
PF12867,1,10,8,1,11,1,2,7,4,DinB superfamily
PF12868,0,0,0,0,1,0,0,0,0,Domain of unknwon function (DUF3824)
PF12872,0,1,1,0,2,0,1,2,0,OST-HTH/LOTUS domain
PF12874,15,14,14,12,12,11,11,13,14,Zinc-finger of C2H2 type
PF12876,0,0,1,0,0,0,0,0,0,Sugar-binding cellulase-like
PF12889,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF3829)
PF12890,0,3,4,0,5,0,0,0,2,Dihydro-orotase-like
PF12893,0,0,1,0,2,0,0,0,0,Putative lumazine-binding
PF12894,9,8,9,11,12,9,9,12,13,Anaphase-promoting complex subunit 4 WD40 domain
PF12895,3,3,3,3,5,3,3,4,4,"Anaphase-promoting complex, cyclosome, subunit 3"
PF12896,1,1,1,1,1,1,1,1,1,"Anaphase-promoting complex, cyclosome, subunit 4"
PF12897,0,7,4,0,0,0,0,0,0,Alanine-glyoxylate amino-transferase
PF12898,1,1,1,1,1,1,1,1,1,Stc1 domain
PF12900,1,3,2,1,1,1,1,1,1,Pyridoxamine 5'-phosphate oxidase
PF12903,0,0,1,0,2,0,0,0,0,Protein of unknown function (DUF3830)
PF12904,0,0,0,0,2,0,0,0,3,Putative collagen-binding domain of a collagenase 
PF12906,3,3,3,3,3,3,3,3,3,RING-variant domain
PF12911,0,6,7,0,18,0,0,4,5,N-terminal TM domain of oligopeptide transport permease C
PF12915,0,0,1,0,1,0,0,2,0,Protein of unknown function (DUF3833)
PF12917,0,2,3,0,2,1,0,1,1,HD containing hydrolase-like enzyme 
PF12922,1,1,1,1,1,1,1,1,1,"non-SMC mitotic condensation complex subunit 1, N-term"
PF12923,1,1,1,1,1,1,1,1,1,Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain
PF12927,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF3835)
PF12928,1,1,1,0,1,1,0,1,1,tRNA-splicing endonuclease subunit sen54 N-term
PF12929,1,1,1,1,1,1,1,1,1,Stretch-activated Ca2+-permeable channel component
PF12931,1,1,1,1,1,1,1,1,1,Sec23-binding domain of Sec16
PF12932,1,1,1,1,1,1,1,1,1,Vesicle coat trafficking protein Sec16 mid-region
PF12935,1,1,1,1,1,1,1,1,1,Vesicle coat trafficking protein Sec16 N-terminus
PF12936,1,1,1,1,1,1,1,1,1,KRI1-like family C-terminal
PF12937,29,29,24,25,27,21,27,30,27,F-box-like
PF12949,2,1,1,2,1,2,1,1,1,HeH/LEM domain
PF12950,0,0,0,0,0,0,0,2,1,TaqI-like C-terminal specificity domain
PF12951,0,0,0,0,1,0,0,0,0,Passenger-associated-transport-repeat
PF12955,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF3844)
PF12965,0,0,1,0,5,0,0,0,2,Domain of unknown function (DUF3854)
PF12969,0,0,0,0,1,0,1,0,0,Domain of Unknown Function with PDB structure (DUF3857)
PF12973,0,0,3,0,7,0,0,1,0,ChrR Cupin-like domain
PF12974,0,3,3,0,16,0,0,5,3,"ABC transporter, phosphonate, periplasmic substrate-binding protein "
PF12982,0,1,0,0,0,0,0,0,0,Protein of unknown function (DUF3866)
PF12998,1,1,1,1,0,1,1,1,1,Inhibitor of growth proteins N-terminal histone-binding
PF13001,1,1,1,1,1,1,1,1,1,Proteasome stabiliser
PF13002,1,1,1,1,1,1,1,1,1,Arrestin_N terminal like
PF13005,0,2,2,0,0,0,0,1,1,zinc-finger binding domain of transposase IS66 
PF13006,0,0,0,0,1,0,0,0,1,Insertion element 4 transposase N-terminal
PF13009,0,0,0,0,1,0,0,0,0,Putative phage integrase
PF13011,0,5,0,1,2,0,0,1,0,leucine-zipper of insertion element IS481
PF13012,4,4,4,4,4,4,4,4,4,Maintenance of mitochondrial structure and function
PF13015,1,1,1,1,1,1,1,1,1,Glucosidase II beta subunit-like protein
PF13019,1,1,1,1,1,1,1,1,0,Silencing defective 2 N-terminal ubiquitin domain
PF13020,0,2,1,0,0,0,0,0,1,Domain of unknown function (DUF3883)
PF13023,1,3,3,1,4,1,1,1,1,HD domain
PF13041,5,3,4,4,4,2,4,4,4,PPR repeat family 
PF13083,0,5,3,0,0,0,0,0,1,KH domain
PF13085,1,5,6,1,7,1,2,4,2,2Fe-2S iron-sulfur cluster binding domain
PF13086,8,7,7,10,7,6,6,10,8,AAA domain
PF13087,12,11,16,16,15,10,11,15,15,AAA domain
PF13088,1,1,1,1,2,1,1,1,1,BNR repeat-like domain
PF13089,0,4,5,0,6,0,1,3,3,Polyphosphate kinase N-terminal domain
PF13090,0,4,5,0,5,0,1,3,3,Polyphosphate kinase C-terminal domain 2
PF13091,2,7,11,2,17,2,5,9,10,PLD-like domain
PF13095,2,1,1,1,1,2,1,0,1,Kinetochore Sim4 complex subunit FTA2
PF13098,1,4,6,1,12,1,2,4,1,Thioredoxin-like domain
PF13102,0,1,1,0,0,0,0,0,1,Phage integrase SAM-like domain
PF13103,0,0,1,0,5,0,0,3,1,TonB C terminal
PF13115,0,0,2,0,0,0,0,0,1,YtkA-like
PF13116,0,0,1,0,4,0,0,1,0,Protein of unknown function
PF13136,1,1,0,1,1,1,1,0,1,Protein of unknown function (DUF3984)
PF13144,0,1,2,0,5,0,0,3,0,Chaperone for flagella basal body P-ring formation
PF13145,0,2,6,0,15,0,3,6,0,PPIC-type PPIASE domain
PF13148,0,0,1,0,5,0,0,0,3,Protein of unknown function (DUF3987)
PF13154,0,0,2,0,9,0,2,0,0,Protein of unknown function (DUF3991)
PF13155,0,4,6,0,17,0,3,3,5,Toprim-like
PF13156,0,1,1,0,1,0,1,1,1,Restriction endonuclease
PF13160,0,3,0,0,0,0,0,0,0,Protein of unknown function (DUF3995)
PF13167,0,1,6,0,13,0,1,2,2,GTP-binding GTPase N-terminal
PF13173,0,0,1,0,1,0,0,0,3,AAA domain
PF13174,3,3,5,3,17,3,5,6,12,Tetratricopeptide repeat
PF13175,1,3,2,2,3,3,2,2,4,AAA ATPase domain
PF13176,6,6,10,7,19,5,8,7,16,Tetratricopeptide repeat
PF13177,4,10,12,3,16,4,6,10,10,"DNA polymerase III, delta subunit"
PF13180,1,16,30,0,49,1,3,19,19,PDZ domain
PF13181,19,21,31,20,55,22,25,26,45,Tetratricopeptide repeat
PF13182,0,0,1,0,0,0,0,0,0,Protein of unknown function (DUF4007)
PF13183,1,13,17,1,23,1,0,8,6,4Fe-4S dicluster domain
PF13184,0,4,5,0,7,0,1,3,2,NusA-like KH domain
PF13185,0,30,30,1,48,1,7,6,31,GAF domain
PF13186,0,0,3,0,9,0,1,1,0,Iron-sulfur cluster-binding domain
PF13187,1,7,5,1,10,1,3,4,2,4Fe-4S dicluster domain
PF13188,1,12,42,1,136,1,10,15,30,PAS domain
PF13189,0,1,2,0,0,0,0,0,0,Cytidylate kinase-like family
PF13190,0,0,1,0,1,0,0,0,2,PDGLE domain
PF13191,6,17,18,6,20,6,6,8,15,AAA ATPase domain
PF13193,13,27,54,15,91,11,19,28,37,AMP-binding enzyme C-terminal domain
PF13195,0,1,0,0,0,0,1,0,0,Protein of unknown function (DUF4011)
PF13196,0,1,1,0,0,0,0,0,1,Protein of unknown function (DUF4012)
PF13199,0,0,0,0,1,0,1,0,0,Glycosyl hydrolase family 66
PF13200,0,0,0,0,1,0,0,0,1,Putative glycosyl hydrolase domain
PF13202,10,9,12,8,23,8,9,12,9,EF hand
PF13203,0,1,0,0,1,0,0,0,0,Putative metallopeptidase domain
PF13204,1,0,0,0,1,1,1,0,2,Protein of unknown function (DUF4038)
PF13205,0,0,1,0,1,0,0,0,3,Bacterial Ig-like domain
PF13207,8,13,12,6,13,7,8,11,12,AAA domain
PF13211,0,0,0,0,1,0,1,2,0,Protein of unknown function (DUF4019)
PF13223,0,2,1,0,0,0,0,0,0,Protein of unknown function (DUF4031)
PF13224,0,3,1,0,0,0,0,0,2,Domain of unknown function (DUF4032)
PF13228,0,0,2,0,0,0,0,0,0,Domain of unknown function (DUF4037)
PF13229,0,2,9,0,16,0,0,4,14,Right handed beta helix region
PF13230,1,1,2,1,0,1,1,1,1,Glutamine amidotransferases class-II
PF13231,0,8,20,0,17,0,0,4,4,Dolichyl-phosphate-mannose-protein mannosyltransferase
PF13233,3,1,3,2,4,2,4,2,2,Complex1_LYR-like
PF13234,2,2,3,2,2,2,2,2,2,rRNA-processing arch domain
PF13236,1,1,1,1,1,1,1,1,1,Clustered mitochondria
PF13237,1,9,8,2,15,2,3,9,3,4Fe-4S dicluster domain
PF13238,5,4,7,4,8,3,7,6,5,AAA domain
PF13240,0,0,1,0,0,0,0,0,2,zinc-ribbon domain
PF13241,2,7,8,2,7,2,2,4,2,Putative NAD(P)-binding
PF13242,6,35,34,6,41,6,8,15,27,HAD-hyrolase-like
PF13243,2,2,4,4,4,1,2,3,2,Squalene-hopene cyclase C-terminal domain
PF13244,0,2,1,0,1,0,0,0,0,Domain of unknown function (DUF4040)
PF13245,7,27,22,9,55,6,12,19,22,AAA domain
PF13246,9,10,11,9,15,9,9,9,10,Cation transport ATPase (P-type)
PF13247,0,2,5,0,6,0,1,1,0,4Fe-4S dicluster domain
PF13248,0,0,1,0,0,0,0,0,1,zinc-ribbon domain
PF13249,2,2,4,4,4,1,2,4,3,Squalene-hopene cyclase N-terminal domain
PF13250,0,1,1,0,0,0,0,0,1,Domain of unknown function (DUF4041)
PF13252,0,0,0,0,1,0,0,0,0,Protein of unknown function (DUF4043)
PF13254,1,1,1,1,1,1,1,1,1,Domain of unknown function (DUF4045)
PF13257,0,1,0,0,1,1,0,0,1,Domain of unknown function (DUF4048)
PF13259,1,1,1,1,1,1,1,1,1,Protein of unknown function (DUF4050)
PF13263,0,3,1,0,0,0,0,0,0,PHP-associated
PF13267,0,0,0,0,0,0,0,0,3,Protein of unknown function (DUF4058)
PF13271,0,1,1,0,1,0,1,0,1,Domain of unknown function (DUF4062)
PF13274,0,2,0,0,0,0,0,0,0,Protein of unknown function (DUF4065)
PF13275,0,1,0,0,0,0,0,0,0,S4 domain
PF13276,0,1,1,0,5,0,0,0,0,HTH-like domain
PF13277,0,0,2,0,6,0,0,1,0,YmdB-like protein
PF13279,1,5,9,2,17,1,4,8,3,Thioesterase-like superfamily
PF13280,0,13,7,0,2,0,0,0,7,WYL domain
PF13282,0,0,0,0,1,0,0,0,2,Domain of unknown function (DUF4070)
PF13283,0,0,0,0,1,0,0,0,0,Bacteriophage N adsorption protein A C-term
PF13286,0,4,5,0,6,0,1,3,2,Phosphohydrolase-associated domain
PF13287,0,0,0,0,2,0,1,1,0,Fn3 associated
PF13288,0,3,3,0,7,0,1,4,3,DXP reductoisomerase C-terminal domain
